,,Upholsterers,,14,-1,12,-1,3,-1
,,"Textile, apparel, and furnishings workers, all other",,19,-1,11,-1,8,-1
,,Cabinetmakers and bench carpenters,,45,-1,43,-1,1,-1
,,Furniture finishers,,10,-1,9,-1,  -,   -   
,,"Sawing machine setters, operators, and tenders, wood",,30,-1,25,-1,6,-1
,,"Woodworking machine setters, operators, and tenders, except sawing",,17,-1,15,-1,2,-1
,,"Woodworkers, all other",,15,-1,15,-1,  -,   -   
,,"Power plant operators, distributors, and dispatchers",,40,-1,39,-1,1,-1
,,Stationary engineers and boiler operators,,93,900,91,899,2,-1
,,Water and liquid waste treatment plant and system operators,,72,857,68,859,4,-1
,,Miscellaneous plant and system operators,,35,-1,34,-1,1,-1
,,"Chemical processing machine setters, operators, and tenders",,50,696,41,-1,9,-1
,,"Crushing, grinding, polishing, mixing, and blending workers",,76,620,66,671,10,-1
,,Cutting workers,,58,524,48,-1,11,-1
,,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",,41,-1,34,-1,7,-1
,,"Furnace, kiln, oven, drier, and kettle operators and tenders",,13,-1,11,-1,2,-1
,,"Inspectors, testers, sorters, samplers, and weighers",,602,716,407,792,195,549
,,Jewelers and precious stone and metal workers,,12,-1,8,-1,4,-1
,,"Medical, dental, and ophthalmic laboratory technicians",,69,624,32,-1,37,-1
,,Packaging and filling machine operators and tenders,,233,472,120,493,114,438
,,Painting workers,,121,647,109,662,12,-1
,,Photographic process workers and processing machine operators,,30,-1,16,-1,14,-1
,,Semiconductor processors,,4,-1,2,-1,2,-1
,,Cementing and gluing machine operators and tenders,,10,-1,6,-1,3,-1
,,"Cleaning, washing, and metal pickling equipment operators and tenders",,9,-1,6,-1,3,-1
,,Cooling and freezing equipment operators and tenders,,3,-1,3,-1,  -,   -   
,,Etchers and engravers,,8,-1,7,-1,1,-1
,,"Molders, shapers, and casters, except metal and plastic",,22,-1,19,-1,3,-1
,,"Paper goods machine setters, operators, and tenders",,35,-1,28,-1,6,-1
,,Tire builders,,24,-1,22,-1,2,-1
,,Helpers-production workers,,37,-1,32,-1,5,-1
,,"Production workers, all other",,839,543,602,583,238,486
,Transportation and material moving occupations,,,6172,599,5368,618,805,447
,,"Supervisors, transportation and material moving workers",,230,743,172,758,57,615
,,Aircraft pilots and flight engineers,,82,1365,79,1360,3,-1
,,Air traffic controllers and airfield operations specialists,,46,-1,41,-1,6,-1
,,"Ambulance drivers and attendants, except emergency medical technicians",,11,-1,9,-1,2,-1
,,Bus drivers,,332,574,184,660,148,502
,,Driver/sales workers and truck drivers,,2386,686,2307,691,79,492
,,Taxi drivers and chauffeurs,,251,537,216,570,35,-1
,,"Motor vehicle operators, all other",,23,-1,20,-1,3,-1
,,Locomotive engineers and operators,,58,1268,57,1268,1,-1
,,"Railroad brake, signal, and switch operators",,7,-1,7,-1,  -,   -   
,,Railroad conductors and yardmasters,,56,1198,53,1230,3,-1
,,"Subway, streetcar, and other rail transportation workers",,10,-1,10,-1,  -,   -   
,,Sailors and marine oilers,,25,-1,24,-1,1,-1
,,Ship and boat captains and operators,,30,-1,30,-1,  -,   -   
,,Ship engineers,,7,-1,7,-1,  -,   -   
,,Bridge and lock tenders,,2,-1,2,-1,  -,   -   
,,Parking lot attendants,,41,-1,37,-1,3,-1
,,Service station attendants,,57,393,50,406,7,-1
,,Transportation inspectors,,40,-1,35,-1,5,-1
,,Other transportation workers,,12,-1,12,-1,  -,   -   
,,Conveyor operators and tenders,,7,-1,7,-1,  -,   -   
,,Crane and tower operators,,48,-1,48,-1,  -,   -   
,,"Dredge, excavating, and loading machine operators",,35,-1,33,-1,1,-1
,,Hoist and winch operators,,3,-1,3,-1,  -,   -   
,,Industrial truck and tractor operators,,459,559,430,556,29,-1
,,Cleaners of vehicles and equipment,,235,448,204,452,31,-1
,,"Laborers and freight, stock, and material movers, hand",,1155,497,973,508,183,419
,,Machine feeders and offbearers,,27,-1,18,-1,9,-1
,,"Packers and packagers, hand",,346,400,159,413,187,389
,,Pumping station operators,,21,-1,20,-1,  -,   -   
,,Refuse and recyclable material collectors,,77,481,74,491,4,-1
,,Shuttle car operators,,2,-1,1,-1,1,-1
,,"Material moving workers, all other",,51,742,47,-1,4,-1
