Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",first-line-supervisors-of-landscaping-lawn-service-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,94,797,85,808,10,-,2011
Janitors and building cleaners,janitors-and-building-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,"1,496",489,"1,111",514,384,418,2011
Maids and housekeeping cleaners,maids-and-housekeeping-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,751,399,114,473,638,392,2011
Pest control workers,pest-control-workers,building-and-grounds-cleaning-and-maintenance-occupations,58,575,57,572,1,-,2011
Grounds maintenance workers,grounds-maintenance-workers,building-and-grounds-cleaning-and-maintenance-occupations,761,425,732,424,29,-,2011
Personal care and service occupations,personal-care-and-service-occupations,service-occupations,"2,121",453,578,562,"1,543",422,2011
First-line supervisors of gaming workers,first-line-supervisors-of-gaming-workers,personal-care-and-service-occupations,90,739,51,876,39,-,2011
First-line supervisors of personal service workers,first-line-supervisors-of-personal-service-workers,personal-care-and-service-occupations,67,613,21,-,46,-,2011
Animal trainers,animal-trainers,personal-care-and-service-occupations,16,-,9,-,7,-,2011
Nonfarm animal caretakers,nonfarm-animal-caretakers,personal-care-and-service-occupations,82,419,22,-,60,417,2011
Gaming services workers,gaming-services-workers,personal-care-and-service-occupations,82,636,43,-,39,-,2011
Motion picture projectionists,motion-picture-projectionists,personal-care-and-service-occupations,3,-,3,-,0,-,2011
"Ushers, lobby attendants, and ticket takers",ushers-lobby-attendants-and-ticket-takers,personal-care-and-service-occupations,9,-,3,-,6,-,2011
Miscellaneous entertainment attendants and related workers,miscellaneous-entertainment-attendants-and-related-workers,personal-care-and-service-occupations,66,424,35,-,31,-,2011
Embalmers and funeral attendants,embalmers-and-funeral-attendants,personal-care-and-service-occupations,5,-,3,-,2,-,2011
"Morticians, undertakers, and funeral directors",morticians-undertakers-and-funeral-directors,personal-care-and-service-occupations,16,-,12,-,3,-,2011
Barbers,barbers,personal-care-and-service-occupations,29,-,25,-,4,-,2011
"Hairdressers, hairstylists, and cosmetologists",hairdressers-hairstylists-and-cosmetologists,personal-care-and-service-occupations,282,453,23,-,259,440,2011
Miscellaneous personal appearance workers,miscellaneous-personal-appearance-workers,personal-care-and-service-occupations,136,441,32,-,104,413,2011
"Baggage porters, bellhops, and concierges",baggage-porters-bellhops-and-concierges,personal-care-and-service-occupations,63,545,55,561,8,-,2011
Tour and travel guides,tour-and-travel-guides,personal-care-and-service-occupations,9,-,6,-,3,-,2011
Childcare workers,childcare-workers,personal-care-and-service-occupations,367,382,26,-,342,383,2011
Personal care aides,personal-care-aides,personal-care-and-service-occupations,549,412,94,454,455,407,2011
Recreation and fitness workers,recreation-and-fitness-workers,personal-care-and-service-occupations,177,506,76,575,101,494,2011
Residential advisors,residential-advisors,personal-care-and-service-occupations,42,-,15,-,27,-,2011
"Personal care and service workers, all other",personal-care-and-service-workers-all-other,personal-care-and-service-occupations,34,-,23,-,11,-,2011
Sales and office occupations,sales-and-office-occupations,,"22,989",638,"9,012",738,"13,977",602,2011
Sales and related occupations,sales-and-related-occupations,sales-and-office-occupations,"9,294",670,"5,225",804,"4,069",549,2011
First-line supervisors of retail sales workers,first-line-supervisors-of-retail-sales-workers,sales-and-related-occupations,"2,223",676,"1,263",759,959,599,2011
First-line supervisors of non-retail sales workers,first-line-supervisors-of-non-retail-sales-workers,sales-and-related-occupations,702,951,488,"1,016",214,781,2011
Cashiers,cashiers,sales-and-related-occupations,"1,343",383,381,411,962,373,2011
Counter and rental clerks,counter-and-rental-clerks,sales-and-related-occupations,87,603,50,620,38,-,2011
Parts salespersons,parts-salespersons,sales-and-related-occupations,117,610,100,587,16,-,2011
Retail salespersons,retail-salespersons,sales-and-related-occupations,"1,789",545,"1,056",620,733,466,2011
Advertising sales agents,advertising-sales-agents,sales-and-related-occupations,202,893,90,961,112,772,2011
Insurance sales agents,insurance-sales-agents,sales-and-related-occupations,384,807,183,"1,033",201,665,2011
"Securities, commodities, and financial services sales agents",securities-commodities-and-financial-services-sales-agents,sales-and-related-occupations,222,"1,144",149,"1,269",73,884,2011
Travel agents,travel-agents,sales-and-related-occupations,49,-,11,-,38,-,2011
"Sales representatives, services, all other",sales-representatives-services-all-other,sales-and-related-occupations,397,887,278,953,119,757,2011
"Sales representatives, wholesale and manufacturing",sales-representatives-wholesale-and-manufacturing,sales-and-related-occupations,"1,091",991,829,"1,019",262,927,2011
"Models, demonstrators, and product promoters",models-demonstrators-and-product-promoters,sales-and-related-occupations,15,-,4,-,11,-,2011
Real estate brokers and sales agents,real-estate-brokers-and-sales-agents,sales-and-related-occupations,380,812,176,992,204,676,2011
Sales engineers,sales-engineers,sales-and-related-occupations,30,-,27,-,3,-,2011
Telemarketers,telemarketers,sales-and-related-occupations,69,412,29,-,40,-,2011
"Door-to-door sales workers, news and street vendors, and related workers",door-to-door-sales-workers-news-and-street-vendors-and-related-workers,sales-and-related-occupations,55,526,35,-,20,-,2011
"Sales and related workers, all other",sales-and-related-workers-all-other,sales-and-related-occupations,140,781,76,985,64,618,2011
Office and administrative support occupations,office-and-administrative-support-occupations,sales-and-office-occupations,"13,695",623,"3,787",668,"9,908",615,2011
First-line supervisors of office and administrative support workers,first-line-supervisors-of-office-and-administrative-support-workers,office-and-administrative-support-occupations,"1,274",764,418,833,856,741,2011
"Switchboard operators, including answering service",switchboard-operators-including-answering-service,office-and-administrative-support-occupations,29,-,4,-,25,-,2011
Telephone operators,telephone-operators,office-and-administrative-support-occupations,38,-,7,-,30,-,2011
"Communications equipment operators, all other",communications-equipment-operators-all-other,office-and-administrative-support-occupations,6,-,4,-,3,-,2011
Bill and account collectors,bill-and-account-collectors,office-and-administrative-support-occupations,178,608,48,-,130,597,2011
Billing and posting clerks,billing-and-posting-clerks,office-and-administrative-support-occupations,397,607,38,-,359,605,2011
"Bookkeeping, accounting, and auditing clerks",bookkeeping-accounting-and-auditing-clerks,office-and-administrative-support-occupations,862,655,112,654,750,656,2011
Gaming cage workers,gaming-cage-workers,office-and-administrative-support-occupations,2,-,1,-,1,-,2011
Payroll and timekeeping clerks,payroll-and-timekeeping-clerks,office-and-administrative-support-occupations,136,710,11,-,125,704,2011
Procurement clerks,procurement-clerks,office-and-administrative-support-occupations,24,-,9,-,16,-,2011
Tellers,tellers,office-and-administrative-support-occupations,283,492,41,-,241,500,2011
"Financial clerks, all other",financial-clerks-all-other,office-and-administrative-support-occupations,64,793,16,-,48,-,2011
Brokerage clerks,brokerage-clerks,office-and-administrative-support-occupations,11,-,7,-,4,-,2011
Correspondence clerks,correspondence-clerks,office-and-administrative-support-occupations,10,-,2,-,8,-,2011
"Court, municipal, and license clerks",court-municipal-and-license-clerks,office-and-administrative-support-occupations,74,763,14,-,60,738,2011
"Credit authorizers, checkers, and clerks",credit-authorizers-checkers-and-clerks,office-and-administrative-support-occupations,47,-,13,-,34,-,2011
Customer service representatives,customer-service-representatives,office-and-administrative-support-occupations,"1,509",588,538,628,972,569,2011
"Eligibility interviewers, government programs",eligibility-interviewers-government-programs,office-and-administrative-support-occupations,79,632,9,-,70,632,2011
File clerks,file-clerks,office-and-administrative-support-occupations,248,616,32,-,217,620,2011
"Hotel, motel, and resort desk clerks",hotel-motel-and-resort-desk-clerks,office-and-administrative-support-occupations,86,423,33,-,53,416,2011
"Interviewers, except eligibility and loan",interviewers-except-eligibility-and-loan,office-and-administrative-support-occupations,121,546,21,-,99,551,2011
"Library assistants, clerical",library-assistants-clerical,office-and-administrative-support-occupations,49,-,12,-,38,-,2011
Loan interviewers and clerks,loan-interviewers-and-clerks,office-and-administrative-support-occupations,110,706,17,-,93,696,2011
New accounts clerks,new-accounts-clerks,office-and-administrative-support-occupations,27,-,8,-,19,-,2011
Order clerks,order-clerks,office-and-administrative-support-occupations,96,586,35,-,60,577,2011
"Human resources assistants, except payroll and timekeeping",human-resources-assistants-except-payroll-and-timekeeping,office-and-administrative-support-occupations,45,-,5,-,40,-,2011
Receptionists and information clerks,receptionists-and-information-clerks,office-and-administrative-support-occupations,868,520,78,521,790,520,2011
Reservation and transportation ticket agents and travel clerks,reservation-and-transportation-ticket-agents-and-travel-clerks,office-and-administrative-support-occupations,80,649,33,-,47,-,2011
"Information and record clerks, all other",information-and-record-clerks-all-other,office-and-administrative-support-occupations,105,744,18,-,86,737,2011
Cargo and freight agents,cargo-and-freight-agents,office-and-administrative-support-occupations,6,-,4,-,2,-,2011
Couriers and messengers,couriers-and-messengers,office-and-administrative-support-occupations,164,744,145,785,19,-,2011
Dispatchers,dispatchers,office-and-administrative-support-occupations,207,651,81,728,126,626,2011
"Meter readers, utilities",meter-readers-utilities,office-and-administrative-support-occupations,21,-,18,-,3,-,2011
Postal service clerks,postal-service-clerks,office-and-administrative-support-occupations,129,978,66,"1,014",63,892,2011
Postal service mail carriers,postal-service-mail-carriers,office-and-administrative-support-occupations,303,979,205,"1,017",98,892,2011
"Postal service mail sorters, processors, and processing machine operators",postal-service-mail-sorters-processors-and-processing-machine-operators,office-and-administrative-support-occupations,57,918,33,-,24,-,2011
"Production, planning, and expediting clerks",production-planning-and-expediting-clerks,office-and-administrative-support-occupations,226,812,110,916,116,722,2011
"Shipping, receiving, and traffic clerks",shipping-receiving-and-traffic-clerks,office-and-administrative-support-occupations,481,562,340,571,141,543,2011
Stock clerks and order fillers,stock-clerks-and-order-fillers,office-and-administrative-support-occupations,992,492,655,488,337,501,2011
"Weighers, measurers, checkers, and samplers, recordkeeping",weighers-measurers-checkers-and-samplers-recordkeeping,office-and-administrative-support-occupations,60,596,32,-,28,-,2011
Secretaries and administrative assistants,secretaries-and-administrative-assistants,office-and-administrative-support-occupations,"2,143",654,84,757,"2,059",651,2011
Computer operators,computer-operators,office-and-administrative-support-occupations,116,724,59,853,56,651,2011
Data entry keyers,data-entry-keyers,office-and-administrative-support-occupations,280,595,49,-,231,597,2011
Word processors and typists,word-processors-and-typists,office-and-administrative-support-occupations,109,599,10,-,99,594,2011
Desktop publishers,desktop-publishers,office-and-administrative-support-occupations,1,-,1,-,0,-,2011
Insurance claims and policy processing clerks,insurance-claims-and-policy-processing-clerks,office-and-administrative-support-occupations,236,660,39,-,197,647,2011
"Mail clerks and mail machine operators, except postal service",mail-clerks-and-mail-machine-operators-except-postal-service,office-and-administrative-support-occupations,79,521,38,-,41,-,2011
"Office clerks, general",office-clerks-general,office-and-administrative-support-occupations,794,604,121,712,673,594,2011
"Office machine operators, except computer",office-machine-operators-except-computer,office-and-administrative-support-occupations,31,-,11,-,20,-,2011
Proofreaders and copy markers,proofreaders-and-copy-markers,office-and-administrative-support-occupations,7,-,1,-,6,-,2011
Statistical assistants,statistical-assistants,office-and-administrative-support-occupations,12,-,4,-,8,-,2011
"Office and administrative support workers, all other",office-and-administrative-support-workers-all-other,office-and-administrative-support-occupations,387,679,101,792,286,645,2011
"Natural resources, construction, and maintenance occupations",natural-resources-construction-and-maintenance-occupations,,"9,965",732,"9,574",740,391,515,2011
"Farming, fishing, and forestry occupations",farming-fishing-and-forestry-occupations,natural-resources-construction-and-maintenance-occupations,775,430,625,445,150,371,2011
"First-line supervisors of farming, fishing, and forestry workers",first-line-supervisors-of-farming-fishing-and-forestry-workers,farming-fishing-and-forestry-occupations,38,-,35,-,3,-,2011
Agricultural inspectors,agricultural-inspectors,farming-fishing-and-forestry-occupations,23,-,11,-,12,-,2011
Animal breeders,animal-breeders,farming-fishing-and-forestry-occupations,3,-,2,-,1,-,2011
"Graders and sorters, agricultural products",graders-and-sorters-agricultural-products,farming-fishing-and-forestry-occupations,85,379,32,-,53,363,2011
Miscellaneous agricultural workers,miscellaneous-agricultural-workers,farming-fishing-and-forestry-occupations,565,419,488,427,77,370,2011
Fishers and related fishing workers,fishers-and-related-fishing-workers,farming-fishing-and-forestry-occupations,13,-,13,-,0,-,2011
Hunters and trappers,hunters-and-trappers,farming-fishing-and-forestry-occupations,1,-,1,-,0,-,2011
Forest and conservation workers,forest-and-conservation-workers,farming-fishing-and-forestry-occupations,8,-,4,-,4,-,2011
Logging workers,logging-workers,farming-fishing-and-forestry-occupations,39,-,39,-,0,-,2011
Construction and extraction occupations,construction-and-extraction-occupations,natural-resources-construction-and-maintenance-occupations,"5,031",717,"4,937",718,95,612,2011
First-line supervisors of construction trades and extraction workers,first-line-supervisors-of-construction-trades-and-extraction-workers,construction-and-extraction-occupations,482,992,467,"1,001",15,-,2011
Boilermakers,boilermakers,construction-and-extraction-occupations,18,-,18,-,0,-,2011
"Brickmasons, blockmasons, and stonemasons",brickmasons-blockmasons-and-stonemasons,construction-and-extraction-occupations,96,710,95,706,1,-,2011
Carpenters,carpenters,construction-and-extraction-occupations,737,630,727,630,10,-,2011
"Carpet, floor, and tile installers and finishers",carpet-floor-and-tile-installers-and-finishers,construction-and-extraction-occupations,110,579,109,581,1,-,2011
"Cement masons, concrete finishers, and terrazzo workers",cement-masons-concrete-finishers-and-terrazzo-workers,construction-and-extraction-occupations,59,651,59,651,0,-,2011
Construction laborers,construction-laborers,construction-and-extraction-occupations,862,586,846,587,15,-,2011
"Paving, surfacing, and tamping equipment operators",paving-surfacing-and-tamping-equipment-operators,construction-and-extraction-occupations,19,-,18,-,0,-,2011
Pile-driver operators,pile-driver-operators,construction-and-extraction-occupations,1,-,1,-,0,-,2011
Operating engineers and other construction equipment operators,operating-engineers-and-other-construction-equipment-operators,construction-and-extraction-occupations,345,809,343,809,2,-,2011
"Drywall installers, ceiling tile installers, and tapers",drywall-installers-ceiling-tile-installers-and-tapers,construction-and-extraction-occupations,101,507,100,509,1,-,2011
Electricians,electricians,construction-and-extraction-occupations,542,857,539,855,3,-,2011
Glaziers,glaziers,construction-and-extraction-occupations,40,-,40,-,0,-,2011
Insulation workers,insulation-workers,construction-and-extraction-occupations,41,-,39,-,2,-,2011
"Painters, construction and maintenance",painters-construction-and-maintenance,construction-and-extraction-occupations,266,544,249,555,17,-,2011
Paperhangers,paperhangers,construction-and-extraction-occupations,2,-,2,-,0,-,2011
"Pipelayers, plumbers, pipefitters, and steamfitters",pipelayers-plumbers-pipefitters-and-steamfitters,construction-and-extraction-occupations,417,851,406,853,11,-,2011
Plasterers and stucco masons,plasterers-and-stucco-masons,construction-and-extraction-occupations,13,-,13,-,0,-,2011
Reinforcing iron and rebar workers,reinforcing-iron-and-rebar-workers,construction-and-extraction-occupations,5,-,5,-,0,-,2011
Roofers,roofers,construction-and-extraction-occupations,143,523,141,520,3,-,2011
Sheet metal workers,sheet-metal-workers,construction-and-extraction-occupations,107,805,104,805,3,-,2011
Structural iron and steel workers,structural-iron-and-steel-workers,construction-and-extraction-occupations,66,870,66,870,0,-,2011
Solar photovoltaic installers,solar-photovoltaic-installers,construction-and-extraction-occupations,2,-,2,-,0,-,2011
"Helpers, construction trades",helpers-construction-trades,construction-and-extraction-occupations,50,469,47,-,3,-,2011
Construction and building inspectors,construction-and-building-inspectors,construction-and-extraction-occupations,54,906,52,919,2,-,2011
Elevator installers and repairers,elevator-installers-and-repairers,construction-and-extraction-occupations,30,-,30,-,0,-,2011
Fence erectors,fence-erectors,construction-and-extraction-occupations,32,-,32,-,0,-,2011
Hazardous materials removal workers,hazardous-materials-removal-workers,construction-and-extraction-occupations,25,-,24,-,1,-,2011
Highway maintenance workers,highway-maintenance-workers,construction-and-extraction-occupations,96,708,94,711,2,-,2011
Rail-track laying and maintenance equipment operators,rail-track-laying-and-maintenance-equipment-operators,construction-and-extraction-occupations,8,-,8,-,0,-,2011
Septic tank servicers and sewer pipe cleaners,septic-tank-servicers-and-sewer-pipe-cleaners,construction-and-extraction-occupations,9,-,9,-,0,-,2011
Miscellaneous construction and related workers,miscellaneous-construction-and-related-workers,construction-and-extraction-occupations,28,-,28,-,0,-,2011
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",derrick-rotary-drill-and-service-unit-operators-oil-gas-and-mining,construction-and-extraction-occupations,42,-,42,-,0,-,2011
"Earth drillers, except oil and gas",earth-drillers-except-oil-and-gas,construction-and-extraction-occupations,17,-,17,-,0,-,2011
"Explosives workers, ordnance handling experts, and blasters",explosives-workers-ordnance-handling-experts-and-blasters,construction-and-extraction-occupations,10,-,10,-,0,-,2011
Mining machine operators,mining-machine-operators,construction-and-extraction-occupations,70,"1,022",69,"1,010",1,-,2011
"Roof bolters, mining",roof-bolters-mining,construction-and-extraction-occupations,12,-,12,-,0,-,2011
"Roustabouts, oil and gas",roustabouts-oil-and-gas,construction-and-extraction-occupations,18,-,17,-,1,-,2011
Helpers--extraction workers,helpers-extraction-workers,construction-and-extraction-occupations,8,-,8,-,0,-,2011
Other extraction workers,other-extraction-workers,construction-and-extraction-occupations,49,-,49,-,0,-,2011
"Installation, maintenance, and repair occupations",installation-maintenance-and-repair-occupations,natural-resources-construction-and-maintenance-occupations,"4,159",806,"4,013",807,146,751,2011
"First-line supervisors of mechanics, installers, and repairers",first-line-supervisors-of-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,327,947,306,936,21,-,2011
"Computer, automated teller, and office machine repairers",computer-automated-teller-and-office-machine-repairers,installation-maintenance-and-repair-occupations,237,811,215,812,22,-,2011
Radio and telecommunications equipment installers and repairers,radio-and-telecommunications-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,139,898,127,883,12,-,2011
Avionics technicians,avionics-technicians,installation-maintenance-and-repair-occupations,16,-,15,-,2,-,2011
"Electric motor, power tool, and related repairers",electric-motor-power-tool-and-related-repairers,installation-maintenance-and-repair-occupations,26,-,25,-,0,-,2011
"Electrical and electronics installers and repairers, transportation equipment",electrical-and-electronics-installers-and-repairers-transportation-equipment,installation-maintenance-and-repair-occupations,7,-,7,-,0,-,2011
"Electrical and electronics repairers, industrial and utility",electrical-and-electronics-repairers-industrial-and-utility,installation-maintenance-and-repair-occupations,15,-,14,-,1,-,2011
"Electronic equipment installers and repairers, motor vehicles",electronic-equipment-installers-and-repairers-motor-vehicles,installation-maintenance-and-repair-occupations,14,-,14,-,0,-,2011
Electronic home entertainment equipment installers and repairers,electronic-home-entertainment-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,32,-,30,-,2,-,2011
Security and fire alarm systems installers,security-and-fire-alarm-systems-installers,installation-maintenance-and-repair-occupations,44,-,44,-,0,-,2011
Aircraft mechanics and service technicians,aircraft-mechanics-and-service-technicians,installation-maintenance-and-repair-occupations,143,988,139,990,4,-,2011
Automotive body and related repairers,automotive-body-and-related-repairers,installation-maintenance-and-repair-occupations,107,624,107,625,1,-,2011
Automotive glass installers and repairers,automotive-glass-installers-and-repairers,installation-maintenance-and-repair-occupations,11,-,10,-,0,-,2011
Automotive service technicians and mechanics,automotive-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,653,714,645,718,8,-,2011
Bus and truck mechanics and diesel engine specialists,bus-and-truck-mechanics-and-diesel-engine-specialists,installation-maintenance-and-repair-occupations,286,801,286,802,1,-,2011
Heavy vehicle and mobile equipment service technicians and mechanics,heavy-vehicle-and-mobile-equipment-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,182,822,179,822,3,-,2011
Small engine mechanics,small-engine-mechanics,installation-maintenance-and-repair-occupations,32,-,31,-,1,-,2011
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",miscellaneous-vehicle-and-mobile-equipment-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,73,463,71,463,2,-,2011
Control and valve installers and repairers,control-and-valve-installers-and-repairers,installation-maintenance-and-repair-occupations,25,-,24,-,1,-,2011
"Heating, air conditioning, and refrigeration mechanics and installers",heating-air-conditioning-and-refrigeration-mechanics-and-installers,installation-maintenance-and-repair-occupations,281,793,279,795,1,-,2011
Home appliance repairers,home-appliance-repairers,installation-maintenance-and-repair-occupations,27,-,23,-,4,-,2011
Industrial and refractory machinery mechanics,industrial-and-refractory-machinery-mechanics,installation-maintenance-and-repair-occupations,425,868,415,870,10,-,2011
"Maintenance and repair workers, general",maintenance-and-repair-workers-general,installation-maintenance-and-repair-occupations,359,758,347,756,11,-,2011
"Maintenance workers, machinery",maintenance-workers-machinery,installation-maintenance-and-repair-occupations,34,-,31,-,3,-,2011
Millwrights,millwrights,installation-maintenance-and-repair-occupations,57,892,56,897,1,-,2011
Electrical power-line installers and repairers,electrical-power-line-installers-and-repairers,installation-maintenance-and-repair-occupations,111,"1,116",111,"1,116",0,-,2011
Telecommunications line installers and repairers,telecommunications-line-installers-and-repairers,installation-maintenance-and-repair-occupations,192,915,185,926,7,-,2011
Precision instrument and equipment repairers,precision-instrument-and-equipment-repairers,installation-maintenance-and-repair-occupations,62,898,52,914,10,-,2011
Wind turbine service technicians,wind-turbine-service-technicians,installation-maintenance-and-repair-occupations,2,-,2,-,0,-,2011
"Coin, vending, and amusement machine servicers and repairers",coin-vending-and-amusement-machine-servicers-and-repairers,installation-maintenance-and-repair-occupations,29,-,27,-,1,-,2011
Commercial divers,commercial-divers,installation-maintenance-and-repair-occupations,1,-,1,-,0,-,2011
Locksmiths and safe repairers,locksmiths-and-safe-repairers,installation-maintenance-and-repair-occupations,17,-,17,-,1,-,2011
Manufactured building and mobile home installers,manufactured-building-and-mobile-home-installers,installation-maintenance-and-repair-occupations,7,-,7,-,0,-,2011
Riggers,riggers,installation-maintenance-and-repair-occupations,15,-,12,-,3,-,2011
Signal and track switch repairers,signal-and-track-switch-repairers,installation-maintenance-and-repair-occupations,5,-,5,-,0,-,2011
"Helpers--installation, maintenance, and repair workers",helpers-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,18,-,17,-,1,-,2011
"Other installation, maintenance, and repair workers",other-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,149,671,137,718,12,-,2011
"Production, transportation, and material moving occupations",production-transportation-and-material-moving-occupations,,"13,333",609,"10,730",651,"2,603",485,2011
Production occupations,production-occupations,production-transportation-and-material-moving-occupations,"7,058",605,"5,241",667,"1,817",483,2011
First-line supervisors of production and operating workers,first-line-supervisors-of-production-and-operating-workers,production-occupations,654,888,530,929,124,665,2011
"Aircraft structure, surfaces, rigging, and systems assemblers",aircraft-structure-surfaces-rigging-and-systems-assemblers,production-occupations,19,-,13,-,7,-,2011
"Electrical, electronics, and electromechanical assemblers",electrical-electronics-and-electromechanical-assemblers,production-occupations,148,521,75,591,73,449,2011
Engine and other machine assemblers,engine-and-other-machine-assemblers,production-occupations,30,-,25,-,4,-,2011
Structural metal fabricators and fitters,structural-metal-fabricators-and-fitters,production-occupations,33,-,31,-,1,-,2011
Miscellaneous assemblers and fabricators,miscellaneous-assemblers-and-fabricators,production-occupations,758,519,473,566,285,479,2011
Bakers,bakers,production-occupations,125,448,63,471,63,416,2011
"Butchers and other meat, poultry, and fish processing workers",butchers-and-other-meat-poultry-and-fish-processing-workers,production-occupations,281,504,215,515,66,479,2011
"Food and tobacco roasting, baking, and drying machine operators and tenders",food-and-tobacco-roasting-baking-and-drying-machine-operators-and-tenders,production-occupations,7,-,5,-,3,-,2011
Food batchmakers,food-batchmakers,production-occupations,63,554,35,-,28,-,2011
Food cooking machine operators and tenders,food-cooking-machine-operators-and-tenders,production-occupations,17,-,12,-,5,-,2011
"Food processing workers, all other",food-processing-workers-all-other,production-occupations,104,534,78,544,25,-,2011
Computer control programmers and operators,computer-control-programmers-and-operators,production-occupations,70,770,65,781,5,-,2011
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",extruding-and-drawing-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,11,-,9,-,2,-,2011
"Forging machine setters, operators, and tenders, metal and plastic",forging-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,5,-,4,-,1,-,2011
"Rolling machine setters, operators, and tenders, metal and plastic",rolling-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,9,-,7,-,2,-,2011
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,92,591,78,608,15,-,2011
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,5,-,4,-,1,-,2011
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",grinding-lapping-polishing-and-buffing-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,60,643,57,641,3,-,2011
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",lathe-and-turning-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,15,-,15,-,0,-,2011
"Milling and planing machine setters, operators, and tenders, metal and plastic",milling-and-planing-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,3,-,3,-,0,-,2011
Machinists,machinists,production-occupations,393,755,377,767,16,-,2011
"Metal furnace operators, tenders, pourers, and casters",metal-furnace-operators-tenders-pourers-and-casters,production-occupations,19,-,18,-,1,-,2011
"Model makers and patternmakers, metal and plastic",model-makers-and-patternmakers-metal-and-plastic,production-occupations,4,-,3,-,1,-,2011
"Molders and molding machine setters, operators, and tenders, metal and plastic",molders-and-molding-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,47,-,35,-,12,-,2011
"Multiple machine tool setters, operators, and tenders, metal and plastic",multiple-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,3,-,3,-,0,-,2011
Tool and die makers,tool-and-die-makers,production-occupations,61,920,59,930,2,-,2011
"Welding, soldering, and brazing workers",welding-soldering-and-brazing-workers,production-occupations,461,679,426,695,36,-,2011
"Heat treating equipment setters, operators, and tenders, metal and plastic",heat-treating-equipment-setters-operators-and-tenders-metal-and-plastic,production-occupations,5,-,4,-,1,-,2011
"Layout workers, metal and plastic",layout-workers-metal-and-plastic,production-occupations,8,-,7,-,1,-,2011
"Plating and coating machine setters, operators, and tenders, metal and plastic",plating-and-coating-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,15,-,13,-,2,-,2011
"Tool grinders, filers, and sharpeners",tool-grinders-filers-and-sharpeners,production-occupations,6,-,6,-,0,-,2011
"Metal workers and plastic workers, all other",metal-workers-and-plastic-workers-all-other,production-occupations,356,561,275,583,81,517,2011
Prepress technicians and workers,prepress-technicians-and-workers,production-occupations,30,-,14,-,16,-,2011
Printing press operators,printing-press-operators,production-occupations,186,613,155,646,31,-,2011
Print binding and finishing workers,print-binding-and-finishing-workers,production-occupations,13,-,7,-,6,-,2011
Laundry and dry-cleaning workers,laundry-and-dry-cleaning-workers,production-occupations,115,412,52,447,64,386,2011
"Pressers, textile, garment, and related materials",pressers-textile-garment-and-related-materials,production-occupations,37,-,13,-,24,-,2011
Sewing machine operators,sewing-machine-operators,production-occupations,112,403,28,-,84,398,2011
Shoe and leather workers and repairers,shoe-and-leather-workers-and-repairers,production-occupations,8,-,7,-,1,-,2011
Shoe machine operators and tenders,shoe-machine-operators-and-tenders,production-occupations,2,-,1,-,1,-,2011
"Tailors, dressmakers, and sewers",tailors-dressmakers-and-sewers,production-occupations,46,-,13,-,33,-,2011
Textile bleaching and dyeing machine operators and tenders,textile-bleaching-and-dyeing-machine-operators-and-tenders,production-occupations,4,-,4,-,0,-,2011
"Textile cutting machine setters, operators, and tenders",textile-cutting-machine-setters-operators-and-tenders,production-occupations,6,-,4,-,2,-,2011
"Textile knitting and weaving machine setters, operators, and tenders",textile-knitting-and-weaving-machine-setters-operators-and-tenders,production-occupations,8,-,2,-,6,-,2011
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",textile-winding-twisting-and-drawing-out-machine-setters-operators-and-tenders,production-occupations,19,-,8,-,11,-,2011
